age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,
35-40,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,75+
45-50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,45-50
35-40,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,35-40
50-55,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,50-55
25-30,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,25-30
35-40,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,35-40
45-50,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,45-50
50-55,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,50-55
30-35,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,30-35
40-45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-45
35-40,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,35-40
25-30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,25-30
20-25,Private,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,20-25
30-35,Private,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,30-35
35-40,Private,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,>50K,35-40
30-35,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,30-35
20-25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,20-25
30-35,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,30-35
35-40,Private,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,35-40
40-45,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,40-45
35-40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,35-40
50-55,Private,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,50-55
30-35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,30-35
40-45,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40-45
55-60,Private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,55-60
55-60,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,55-60
-20,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,70-75
50-55,?,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South,>50K,50-55
35-40,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,35-40
45-50,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,45-50
20-25,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,20-25
20-25,Private,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,20-25
40-45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,40-45
25-30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,25-30
20-25,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,20-25
45-50,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,45-50
20-25,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,20-25
-20,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,70-75
30-35,Private,10,Married-civ-spouse,Sales,Husband,White,Male,38,?,>50K,30-35
45-50,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,45-50
30-35,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,30-35
50-55,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,50-55
20-25,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,20-25
45-50,Private,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,45-50
20-25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,20-25
55-60,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,55-60
50-55,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,50-55
40-45,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,40-45
40-45,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-45
25-30,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,25-30
20-25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,20-25
-20,Private,9,Never-married,Other-service,Own-child,White,Female,30,?,<=50K,70-75
45-50,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,45-50
45-50,Federal-gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,45-50
45-50,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,45-50
40-45,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,40-45
45-50,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,45-50
